id,titol,data_inici,data_fi,hora,lloc,municipi,comarca,categoria,descripcio_ca,descripcio_fr,associacio,imatge_url,font_url,estat,data_entrada
2026-06-20-maria-lluis-art-contemporani-al-museu-te,"Maria Lluis, art contemporani al Museu Terrus",2026-06-20,2026-11-01,09:30,Musée Terrus,Elna,Rosselló,Exposició,"Nascuda a Perpinyà el 1931, Maria Lluis presenta pintures, tintes i carbonets al Museu Terrus. És considerada una de les pintores més discretes i alhora més sòlides de la història de l’art dels Pirineus Orientals des de fa mig segle. Una obra de colors mediterranis.","Née à Perpignan en 1931, Maria Lluis présente peintures, encres et fusains au Musée Terrus. Elle est considérée comme l’une des peintres les plus discrètes et pourtant les plus solides de l’histoire de l’art des Pyrénées-Orientales depuis un demi-siècle. Une œuvre aux couleurs méditerranéennes.",Mairie d'Elne,https://ville-elne.fr/wp-content/uploads/2026/05/Maria-LLUIS-Perpignan-2017.jpg,https://ville-elne.fr/agenda/exposition-dart-contemporain-maria-lluis/,pendent,2026-08-20T12:00:00Z
2026-06-27-picabia-mediterrania,"Picabia, Mediterrània",2026-06-27,2026-11-29,,Musée d'Art moderne de Céret,Ceret,Vallespir,Exposició,"El Museu d’Art Modern de Ceret dedica una exposició a Francis Picabia (1879-1953), figura central de les avantguardes del començament del segle XX. Nodrit dels seus viatges entre Nova York i Barcelona, l’artista va elaborar un llenguatge audaç i irreverent. El recorregut el situa al costat de Picasso, Delaunay i Laurencin.","Le Musée d’Art moderne de Céret consacre une exposition à Francis Picabia (1879-1953), figure centrale des avant-gardes du début du XXe siècle. Nourri de ses voyages entre New York et Barcelone, l’artiste a élaboré un langage audacieux et irrévérencieux. Le parcours le situe aux côtés de Picasso, Delaunay et Laurencin.",Musée d'Art moderne de Céret (EPCC),https://www.musee-ceret.com/content/uploads/2026/05/dp-picabia-musee-dart-moderne-de-ceret.pdf,https://www.musee-ceret.com/expositions/exposition-en-cours/,pendent,2026-08-20T12:00:00Z
2026-07-31-alimentar-el-planeta,Alimentar el planeta,2026-07-31,2027-02-14,,Musée de Cerdagne - Ferme Cal Mateu,Santa Llocaia,Cerdanya,Exposició,"Per primera vegada, Visa pour l’Image surt de Perpinyà i s’instal·la al Museu de Cerdanya. L’exposició «Nourrir la planète» presenta el treball d’un fotoperiodista de renom internacional sobre com es menja al món. Es pot veure a la granja de Cal Mateu fins al febrer.","Pour la première fois, Visa pour l’Image quitte Perpignan et s’installe au Musée de Cerdagne. L’exposition « Nourrir la planète » présente le travail d’un photojournaliste de renommée internationale sur la manière dont le monde se nourrit. Elle est visible à la ferme Cal Mateu jusqu’en février.",Musée de Cerdagne - Ferme Cal Mateu; Centre International du Photojournalisme - Visa pour l'Image-Perpignan,https://cdt66.media.tourinsoft.eu/upload/affiche-Visa-pour-l-Image-1-pour-communication.jpg,https://www.tourisme-pyreneesorientales.com/agenda/exposition-nourrir-la-planete-musee-de-cerdagne-visa-pour-limage-sainte-leocadie-fr-6707779/,pendent,2026-08-20T12:00:00Z
2026-08-01-exposicio-de-michele-reby,Exposició de Michèle Reby,2026-08-01,2026-09-30,09:30,Cloître d'Elne,Elna,Rosselló,Exposició,"L’artista plàstica Michèle Reby exposa les seves obres al Claustre d’Elna. La mostra es pot visitar de l’1 d’agost al 30 de setembre, dins l’horari d’obertura del claustre. Una ocasió de veure creació contemporània en un marc romànic.","L’artiste plasticienne Michèle Reby expose ses œuvres au Cloître d’Elne. La présentation est visible du 1er août au 30 septembre, aux heures d’ouverture du cloître. Une occasion de voir de la création contemporaine dans un cadre roman.",Mairie d'Elne,https://ville-elne.fr/wp-content/uploads/2026/07/Affiche-Exposition-Musee-Moderne-Professionnelle-Sobre-scaled.png,https://ville-elne.fr/agenda/exposition-de-michele-reby/,pendent,2026-08-20T12:00:00Z
2026-08-02-exposicio-collectiva-dartistes-arlesencs,Exposició col·lectiva d’artistes arlesencs,2026-08-02,2026-09-30,,Le Palau,Arles de Tec,Vallespir,Exposició,"El Palau d’Arles de Tec acull una exposició col·lectiva d’artistes del poble i dels voltants. Hi participen Anaïs Guerrero, Christian D’Agostino, María Periánez, Jacques Maurin, Jean-Luc Aspart, Mors i Xylo. Set mirades diferents reunides en un mateix espai.","Le Palau d’Arles-sur-Tech accueille une exposition collective d’artistes du village et des environs. Y participent Anaïs Guerrero, Christian D’Agostino, María Periánez, Jacques Maurin, Jean-Luc Aspart, Mors et Xylo. Sept regards différents réunis dans un même espace.",Abbaye Sainte-Marie,https://files.appli-intramuros.com/img/events/6388/ff08de1a950a50cf828e36b724a0018b_exposition.jpg,https://www.intramuros.org/arles-sur-tech/agenda/843434,pendent,2026-08-20T12:00:00Z
2026-08-18-convivencia-dels-sagrats,Convivència dels sagrats,2026-08-18,2026-10-31,08:00,Hôtel de Ville de Prades,Prada,Conflent,Exposició,"L’Ajuntament de Prada acull l’exposició del fotògraf Martial Lambert dedicada al patrimoni religiós dels Pirineus Orientals. Entre allò sagrat i les escenes de carrer, les imatges proposen una mirada nova sobre els edificis que jalonen el país. Es pot veure del 18 d’agost al 31 d’octubre.","L’Hôtel de Ville de Prades accueille l’exposition du photographe Martial Lambert consacrée au patrimoine religieux des Pyrénées-Orientales. Entre le sacré et les scènes de rue, les images proposent un regard neuf sur les édifices qui jalonnent le pays. Elle est visible du 18 août au 31 octobre.",Mairie de Prades / Service Patrimoine Culturel Mairie de Prades,,https://www.facebook.com/mairiedeprades/posts/-entre-sacr%C3%A9s-et-sc%C3%A8nes-de-rue-du-18-ao%C3%BBt-au-31-octobre-2026-lh%C3%B4tel-de-ville-de-/1475117721316669/,pendent,2026-08-20T12:00:00Z
2026-08-18-del-camp-i-de-la-terra-els-vells-masos-c,Del camp i de la terra: els vells masos catalans,2026-08-18,2026-09-19,,Espace Martin Vivès,Prada,Conflent,Exposició,"L’associació Terra Nostra presenta una exposició sobre el patrimoni vernacle dels masos catalans a l’Espai Martin Vivès. La mostra s’inscriu en la Universitat Catalana d’Estiu i s’acompanya de conferències conduïdes per Ramon Gual, en català i en francès. Una mirada a l’arquitectura de la pagesia.","L’association Terra Nostra présente une exposition sur le patrimoine vernaculaire des mas catalans à l’Espace Martin Vivès. Elle s’inscrit dans l’Université Catalane d’Été et s’accompagne de conférences menées par Ramon Gual, en catalan et en français. Un regard sur l’architecture paysanne.",Association Terra Nostra,https://cdt66.media.tourinsoft.eu/upload/Affiche---Les-vieux-mas-Catalans--2-.jpg,https://www.tourisme-canigo.com/agenda/del-camp-i-de-la-terra-les-vieux-mas-catalans-fmalar066v52xo5v/,pendent,2026-08-20T12:00:00Z
2026-08-24-el-mercat-setmanal-de-ribesaltes,El mercat setmanal de Ribesaltes,2026-08-24,2026-12-31,08:00,Allées Joffre / Marché de Rivesaltes,Ribesaltes,Rosselló,Mercat,"Cada dilluns al matí, el mercat de Ribesaltes s’instal·la a les Allées Joffre, davant de l’oficina de turisme. Hi ha productors locals, productors ecològics i artesans del poble i dels voltants. Una cita per omplir el cistell i trobar-se.","Chaque lundi matin, le marché de Rivesaltes s’installe sur les Allées Joffre, face à l’Office de Tourisme. On y trouve des producteurs locaux, des producteurs bio et des artisans du village et des environs. Un rendez-vous pour remplir son panier et se retrouver.",,https://cdt66.media.tourinsoft.eu/upload/Rivesaltes-marche-1-copyright-Office-de-tourisme-Rivesaltes.png,https://www.rivesaltes-tourisme.com/agenda/marche-hebdomadaire/,pendent,2026-08-20T12:00:00Z
2026-09-01-taller-de-costura-del-cor,Taller de costura del cor,2026-09-01,2026-09-22,09:00,Espace de Vie Sociale Maison pour Tous,Morellàs i les Illes,Vallespir,Taller,"L’Espai de Vida Social Maison pour Tous organitza un taller de costura solidària animat per una voluntària. L’objectiu és passar un moment junts i confeccionar maniguets per a persones en quimioteràpia, en col·laboració amb l’hospital de Perpinyà. És gratuït i obert a tothom, principiants inclosos.","L’Espace de Vie Sociale Maison pour Tous organise un atelier couture solidaire animé par une bénévole. L’objectif est de passer un moment ensemble et de confectionner des manchons pour des personnes en chimiothérapie, en collaboration avec l’hôpital de Perpignan. Il est gratuit et ouvert à tous, débutants compris.",Espace de Vie Sociale Maison pour Tous,https://files.appli-intramuros.com/img/events/5092/b4977fad6e19e1a84c9e8e74e10270e2_atelier-co.jpg,https://www.maureillaslasillas.fr/agenda/710079?start_date=2026-09-01&end_date=2026-09-01,pendent,2026-08-20T12:00:00Z
2026-09-01-els-15-anys-de-laect-les-valls-catalanes,Els 15 anys de l’AECT Les Valls Catalanes,2026-09-01,2026-10-31,10:00,Maison du patrimoine et de la mémoire André Abet,Sant Llorenç de Cerdans,Vallespir,Exposició,La Maison du patrimoine et de la mémoire André Abet acull una exposició sobre els quinze anys de l’Agrupació Europea de Cooperació Territorial Les Valls Catalanes. La mostra explica què fa aquesta estructura transfronterera i com treballa. Entrada gratuïta de l’1 de setembre al 31 d’octubre.,La Maison du patrimoine et de la mémoire André Abet accueille une exposition sur les quinze ans du Groupement Européen de Coopération Territoriale Les Vallées catalanes. Elle explique ce que fait cette structure transfrontalière et comment elle travaille. Entrée gratuite du 1er septembre au 31 octobre.,,,https://www.lepetitagenda.com/evenements/fete-de-la-musique/le-gect-les-vallees-catalanes-une-exposition-qui-celebre-les-15-ans-de-la-structure/,pendent,2026-08-20T12:00:00Z
2026-09-02-taller-daquarella,Taller d’aquarel·la,2026-09-02,2026-09-02,10:30,Musée de Cerdagne - Ferme Cal Mateu,Santa Llocaia,Cerdanya,Taller,El Museu de Cerdanya proposa un taller d’aquarel·la a la granja de Cal Mateu. El material és inclòs en el preu i cada participant se’n torna amb la seva obra. Obert a tothom a partir de set anys.,Le Musée de Cerdagne propose un atelier aquarelle à la ferme Cal Mateu. Le matériel est compris dans le tarif et chaque participant repart avec sa production. Ouvert à tous à partir de sept ans.,Musée de Cerdagne - Ferme Cal Mateu,https://api.cloudly.space/resize/crop/1200/627/60/aHR0cHM6Ly9jZHQ2Ni5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9BdGVsaWVyLUFxdWFyZWxsZS0yLmpwZw==/image.jpg,https://www.pyrenees-cerdagne.com/planifier/activites/agenda/atelier-aquarelle-6305842,pendent,2026-08-20T12:00:00Z
2026-09-03-festival-pellicu-live,Festival Pellicu-Live,2026-09-03,2026-09-05,18:00,Parc Palauda,Tuïr,Rosselló,Música,"El parc Palauda de Tuïr acull tres dies de cinema, música i gastronomia. El programa combina classes magistrals de cinema, xous amb cuiners i concerts en directe. Una trobada estiuenca que barreja pantalla i escenari.","Le parc Palauda de Thuir accueille trois jours de cinéma, de musique et de gastronomie. Le programme mêle masterclass de cinéma, shows avec des chefs et concerts en direct. Une rencontre estivale qui mélange écran et scène.",Festival Pellicu-Live,https://cdt66.media.tourinsoft.eu/upload/aSPRES-THUIR-PELLICULIVE26.jpg,https://pelliculive.fr/,pendent,2026-08-20T12:00:00Z
2026-09-04-passejada-comentada-a-la-capella-de-sant,Passejada comentada a la capella de Sant Llorenç del Mont,2026-09-04,2026-10-16,09:00,Chapelle Saint-Laurent-du-Mont,Argelers,Rosselló,Patrimoni i tradicions,"Cada divendres al matí, una passejada comentada convida a descobrir el bosc del massís de les Alberes d’una altra manera. El recorregut mena fins a la capella de Sant Llorenç del Mont, amb explicacions sobre el medi natural. Una invitació a alentir el pas.","Chaque vendredi matin, une balade commentée invite à découvrir la forêt du massif des Albères autrement. Le parcours mène jusqu’à la chapelle Saint-Laurent-du-Mont, avec des explications sur le milieu naturel. Une invitation à ralentir.",Mairie d’Argelès-sur-Mer,https://cdt66.media.tourinsoft.eu/upload/CHAPELLE-ST-LAURENT-DU-MONT.jpeg,https://www.argeles-sur-mer.com/offres/balade-commentee-nature-randonnee-a-la-chapelle-saint-laurent-du-mont-argeles-sur-mer-fr-6398529/,pendent,2026-08-20T12:00:00Z
2026-09-04-presentacio-de-la-temporada-cultural-202,Presentació de la temporada cultural 2026-2027,2026-09-04,2026-09-04,18:30,Salle de l'Union,Ceret,Vallespir,Patrimoni i tradicions,"La vila de Ceret presenta la nova temporada cultural a la sala de l’Union. Al llarg de la vetllada es descobreixen les cites que marcaran l’any, amb una participació musical de Fill in Guitar. Entrada lliure.","La ville de Céret présente la nouvelle saison culturelle à la salle de l’Union. Au cours de la soirée on découvre les rendez-vous qui marqueront l’année, avec une participation musicale de Fill in Guitar. Entrée libre.",Ville de Céret,https://files.appli-intramuros.com/img/events/8163/4a6dd6c841c7650e0825f7a933b5ad5c_soiree-de-.jpg,https://www.ceret.fr/agenda/47761/11511-soiree-de-presentation-de-la-saison-culturelle-2026-2027.htm,pendent,2026-08-20T12:00:00Z
2026-09-04-els-invisibles-els-tiradors-senegalesos,Els invisibles: els tiradors senegalesos,2026-09-04,2026-09-30,,Médiathèque Le Boulou,El Voló,Vallespir,Exposició,"Warren Saré, fotògraf establert a Ouagadougou, va emprendre la recerca dels antics combatents africans enrolats a les dues guerres mundials. El projecte va néixer d’un relat del seu avi i s’ha convertit en un treball de transmissió i de memòria. La mediateca del Voló presenta la mostra dins el Visa OFF.","Warren Saré, photographe établi à Ouagadougou, a entrepris de retrouver les anciens combattants africains enrôlés lors des deux guerres mondiales. Le projet est né d’un récit de son grand-père et s’est transformé en un travail de transmission et de mémoire. La médiathèque du Boulou présente cette exposition dans le cadre du Visa OFF.",Médiathèque Le Boulou,,https://www.mairie-leboulou.fr/agenda/47620/3454-les-invisibles-les-tirailleurs-senegalais.-warren-sare-association-ecole-sans-frontieres-visa-off-2025.htm,pendent,2026-08-20T12:00:00Z
2026-09-04-exposicio-de-pintura-de-lassociacio-colo,Exposició de pintura de l’associació Colorine,2026-09-04,2026-09-28,14:30,Musée du liège,Morellàs i les Illes,Vallespir,Exposició,"El Museu del Suro i el municipi de Morellàs i les Illes acullen l’associació de pintura Colorine, amb seu al Voló. Diversos dels seus membres són de Morellàs i presenten les seves darreres creacions. L’exposició es pot veure durant tot el mes de setembre.","Le Musée du liège et la commune de Maureillas-las-Illas accueillent l’association de peinture Colorine, dont le siège est au Boulou. Plusieurs de ses adhérents sont maureillanais et présentent leurs dernières créations. L’exposition est visible tout le mois de septembre.",Association Colorine; Commune de Maureillas-Las Illas et Musée du liège (hosts),https://files.appli-intramuros.com/img/events/5092/b335de5d40e1c84c08ae1a772d50225a_exposition.jpg,https://www.maureillaslasillas.fr/agenda/845490,pendent,2026-08-20T12:00:00Z
2026-09-05-forum-de-les-associacions-de-ceret,Fòrum de les associacions de Ceret,2026-09-05,2026-09-05,09:00,Stade Fondecave,Ceret,Vallespir,Patrimoni i tradicions,"La vila de Ceret organitza el fòrum de les associacions al camp de Fondecave, de nou a dotze del matí. És l’ocasió de trobar les associacions ceretanes, conèixer les seves activitats i parlar amb els seus voluntaris. Una porta d’entrada a la vida associativa del poble.","La ville de Céret organise le Forum des associations au stade Fondecave, de neuf heures à midi. C’est l’occasion de rencontrer les associations cérétanes, de découvrir leurs activités et d’échanger avec leurs bénévoles. Une porte d’entrée dans la vie associative du village.",Ville de Céret,,https://www.ceret.fr/agenda/47759/11511-forum-des-associations.htm?periode=509957,pendent,2026-08-20T12:00:00Z
2026-09-05-forum-de-les-associacions-del-volo,Fòrum de les associacions del Voló,2026-09-05,2026-09-05,15:00,Rue Arago,El Voló,Vallespir,Patrimoni i tradicions,Les associacions del Voló es reuneixen al carrer Arago per presentar les seves activitats. És el moment de triar una activitat per a la tornada i de parlar amb els qui la fan possible. Entrada lliure.,Les associations boulounenques se réunissent rue Arago pour présenter leurs activités. C’est le moment de choisir une activité pour la rentrée et d’échanger avec ceux qui la font vivre. Entrée libre.,Mairie du Boulou,https://cdt66.media.tourinsoft.eu/upload/005-002-POST-RS-FORUM-DES-ASSOCIATIONS-LE-BOULOU-.png,https://www.vallespir-tourisme.fr/offres/forum-des-associations-le-boulou-le-boulou-fr-6715867/,pendent,2026-08-20T12:00:00Z
2026-09-05-festa-medieval-de-formiguera,Festa medieval de Formiguera,2026-09-05,2026-09-05,10:30,Place du Village,Formiguera,Capcir,Patrimoni i tradicions,"La plaça del poble de Formiguera acull la gran festa medieval a partir de dos quarts d’onze. El programa reuneix espectacles de carrer, animacions, mercat de productors i mercat medieval, i l’arribada del seguici reial amb el discurs. Al migdia hi ha bufet i, al vespre, concert i espectacle de foc.","La place du village de Formiguères accueille la grande fête médiévale à partir de dix heures trente. Le programme réunit spectacles de rue, animations, marché des producteurs et marché médiéval, ainsi que l’arrivée du cortège royal et son discours. À midi un buffet, et en soirée concert et spectacle de feu.",Mairie de Formiguères,https://formigueres.fr/wp-content/uploads/2026/08/05-07-Fete-medievale-formigueres.jpg,https://www.facebook.com/MairiedeFormigueres/posts/grande-f%C3%AAte-m%C3%A9di%C3%A9vale-de-formigu%C3%A8res-le-samedi-5-septembre-2026d%C3%A9but-des-festivi/1083486077347142/,pendent,2026-08-20T12:00:00Z
2026-09-05-forum-de-les-associacions-dilla,Fòrum de les associacions d’Illa,2026-09-05,2026-09-05,09:00,Espace La Catalane,Illa,Rosselló,Patrimoni i tradicions,"L’espai La Catalane acull el fòrum de les associacions d’Illa, de nou del matí a quatre de la tarda. Esport, cultura, solidaritat, medi ambient, lleure i educació hi són representats. Una ocasió de trobar els voluntaris i una activitat per a l’any.","L’Espace La Catalane accueille le Forum des associations d’Ille-sur-Têt, de neuf heures à seize heures. Sport, culture, solidarité, environnement, loisirs et éducation y sont représentés. Une occasion de rencontrer les bénévoles et de trouver une activité pour l’année.",Mairie d'Ille sur Têt,https://www.ille-sur-tet.com/wp-content/uploads/2026/08/Forum-des-associations_2026.png,https://www.ille-sur-tet.com/agenda/forum-des-associations-2/,pendent,2026-08-20T12:00:00Z
2026-09-05-forum-de-les-associacions-de-ribesaltes,Fòrum de les associacions de Ribesaltes,2026-09-05,2026-09-05,09:00,Les Dômes,Ribesaltes,Rosselló,Patrimoni i tradicions,"Les Dômes acullen el fòrum de les associacions de Ribesaltes, de nou del matí a cinc de la tarda. Les associacions del poble presenten les seves activitats per a l’any que comença. Entrada lliure.","Les Dômes accueillent le Forum des associations de Rivesaltes, de neuf heures à dix-sept heures. Les associations de la commune présentent leurs activités pour l’année qui commence. Entrée libre.",Mairie de Rivesaltes,https://www.rivesaltes.fr/wp-content/uploads/2026/07/AFFICHE-FORUM-DES-ASSOCIATIONS-scaled.jpg,https://www.rivesaltes.fr/agenda/forum-des-associations-4/,pendent,2026-08-20T12:00:00Z
